ItemSet:{ 4, 5} 	 Values : 4
ItemSet:{ 1, 4} 	 Values : 3
ItemSet:{ 2, 4} 	 Values : 3
ItemSet:{ 2, 5} 	 Values : 3
ItemSet:{ 4, 6} 	 Values : 3
ItemSet:{ 0, 4} 	 Values : 2
ItemSet:{ 1, 5} 	 Values : 2
ItemSet:{ 1, 6} 	 Values : 2
ItemSet:{ 2, 3} 	 Values : 2
ItemSet:{ 2, 6} 	 Values : 2
ItemSet:{ 3, 4} 	 Values : 2
ItemSet:{ 3, 5} 	 Values : 2
ItemSet:{ 3, 6} 	 Values : 2
ItemSet:{ 5, 6} 	 Values : 2
ItemSet:{ 0, 1} 	 Values : 1
ItemSet:{ 0, 2} 	 Values : 1
ItemSet:{ 0, 5} 	 Values : 1
ItemSet:{ 0, 6} 	 Values : 1
ItemSet:{ 0, 9} 	 Values : 1
ItemSet:{ 1, 2} 	 Values : 1
ItemSet:{ 1, 3} 	 Values : 1
ItemSet:{ 1, 8} 	 Values : 1
ItemSet:{ 1, 9} 	 Values : 1
ItemSet:{ 2, 7} 	 Values : 1
ItemSet:{ 3, 7} 	 Values : 1
ItemSet:{ 4, 7} 	 Values : 1
ItemSet:{ 4, 8} 	 Values : 1
ItemSet:{ 4, 9} 	 Values : 1
ItemSet:{ 5, 7} 	 Values : 1
ItemSet:{ 5, 8} 	 Values : 1
ItemSet:{ 6, 7} 	 Values : 1
ItemSet:{ 6, 9} 	 Values : 1
ItemSet:{ 0, 3} 	 Values : 0
ItemSet:{ 0, 7} 	 Values : 0
ItemSet:{ 0, 8} 	 Values : 0
ItemSet:{ 1, 7} 	 Values : 0
ItemSet:{ 2, 8} 	 Values : 0
ItemSet:{ 2, 9} 	 Values : 0
ItemSet:{ 3, 8} 	 Values : 0
ItemSet:{ 3, 9} 	 Values : 0
ItemSet:{ 5, 9} 	 Values : 0
ItemSet:{ 6, 8} 	 Values : 0
ItemSet:{ 7, 8} 	 Values : 0
ItemSet:{ 7, 9} 	 Values : 0
ItemSet:{ 8, 9} 	 Values : 0
