ItemSet:{ { 5 } ==> { 4 }} 	 Confidance : 100
ItemSet:{ { 1 } ==> { 4 }} 	 Confidance : 100
ItemSet:{ { 2 } ==> { 4 }} 	 Confidance : 100
ItemSet:{ { 2 } ==> { 5 }} 	 Confidance : 100
ItemSet:{ { 6 } ==> { 4 }} 	 Confidance : 100
ItemSet:{ { 0 } ==> { 4 }} 	 Confidance : 100
ItemSet:{ { 3 } ==> { 2 }} 	 Confidance : 100
ItemSet:{ { 3 } ==> { 4 }} 	 Confidance : 100
ItemSet:{ { 3 } ==> { 5 }} 	 Confidance : 100
ItemSet:{ { 3 } ==> { 6 }} 	 Confidance : 100
ItemSet:{ { 9 } ==> { 0 }} 	 Confidance : 100
ItemSet:{ { 8 } ==> { 1 }} 	 Confidance : 100
ItemSet:{ { 9 } ==> { 1 }} 	 Confidance : 100
ItemSet:{ { 7 } ==> { 2 }} 	 Confidance : 100
ItemSet:{ { 7 } ==> { 3 }} 	 Confidance : 100
ItemSet:{ { 7 } ==> { 4 }} 	 Confidance : 100
ItemSet:{ { 8 } ==> { 4 }} 	 Confidance : 100
ItemSet:{ { 9 } ==> { 4 }} 	 Confidance : 100
ItemSet:{ { 7 } ==> { 5 }} 	 Confidance : 100
ItemSet:{ { 8 } ==> { 5 }} 	 Confidance : 100
ItemSet:{ { 7 } ==> { 6 }} 	 Confidance : 100
ItemSet:{ { 9 } ==> { 6 }} 	 Confidance : 100
ItemSet:{ { 4 } ==> { 5 }} 	 Confidance : 80
ItemSet:{ { 5 } ==> { 2 }} 	 Confidance : 75
ItemSet:{ { 1 } ==> { 5 }} 	 Confidance : 66.67
ItemSet:{ { 1 } ==> { 6 }} 	 Confidance : 66.67
ItemSet:{ { 6 } ==> { 1 }} 	 Confidance : 66.67
ItemSet:{ { 2 } ==> { 3 }} 	 Confidance : 66.67
ItemSet:{ { 2 } ==> { 6 }} 	 Confidance : 66.67
ItemSet:{ { 6 } ==> { 2 }} 	 Confidance : 66.67
ItemSet:{ { 6 } ==> { 3 }} 	 Confidance : 66.67
ItemSet:{ { 6 } ==> { 5 }} 	 Confidance : 66.67
ItemSet:{ { 4 } ==> { 1 }} 	 Confidance : 60
ItemSet:{ { 4 } ==> { 2 }} 	 Confidance : 60
