ItemSet:{ 2, 3, 4, 5} 	 Values : 2
ItemSet:{ 2, 3, 4, 6} 	 Values : 2
ItemSet:{ 2, 3, 5, 6} 	 Values : 2
ItemSet:{ 2, 4, 5, 6} 	 Values : 2
ItemSet:{ 3, 4, 5, 6} 	 Values : 2
ItemSet:{ 0, 1, 4, 6} 	 Values : 1
ItemSet:{ 0, 1, 4, 9} 	 Values : 1
ItemSet:{ 0, 1, 6, 9} 	 Values : 1
ItemSet:{ 0, 2, 4, 5} 	 Values : 1
ItemSet:{ 0, 4, 6, 9} 	 Values : 1
ItemSet:{ 1, 2, 3, 4} 	 Values : 1
ItemSet:{ 1, 2, 3, 5} 	 Values : 1
ItemSet:{ 1, 2, 3, 6} 	 Values : 1
ItemSet:{ 1, 2, 4, 5} 	 Values : 1
ItemSet:{ 1, 2, 4, 6} 	 Values : 1
ItemSet:{ 1, 2, 5, 6} 	 Values : 1
ItemSet:{ 1, 3, 4, 5} 	 Values : 1
ItemSet:{ 1, 3, 4, 6} 	 Values : 1
ItemSet:{ 1, 3, 5, 6} 	 Values : 1
ItemSet:{ 1, 4, 5, 6} 	 Values : 1
ItemSet:{ 1, 4, 5, 8} 	 Values : 1
ItemSet:{ 1, 4, 6, 9} 	 Values : 1
ItemSet:{ 2, 3, 4, 7} 	 Values : 1
ItemSet:{ 2, 3, 5, 7} 	 Values : 1
ItemSet:{ 2, 3, 6, 7} 	 Values : 1
ItemSet:{ 2, 4, 5, 7} 	 Values : 1
ItemSet:{ 2, 4, 6, 7} 	 Values : 1
ItemSet:{ 2, 5, 6, 7} 	 Values : 1
ItemSet:{ 3, 4, 5, 7} 	 Values : 1
ItemSet:{ 3, 4, 6, 7} 	 Values : 1
ItemSet:{ 3, 5, 6, 7} 	 Values : 1
ItemSet:{ 4, 5, 6, 7} 	 Values : 1
ItemSet:{ 0, 1, 2, 3} 	 Values : 0
ItemSet:{ 0, 1, 2, 4} 	 Values : 0
ItemSet:{ 0, 1, 2, 5} 	 Values : 0
ItemSet:{ 0, 1, 2, 6} 	 Values : 0
ItemSet:{ 0, 1, 2, 7} 	 Values : 0
ItemSet:{ 0, 1, 2, 8} 	 Values : 0
ItemSet:{ 0, 1, 2, 9} 	 Values : 0
ItemSet:{ 0, 1, 3, 4} 	 Values : 0
ItemSet:{ 0, 1, 3, 5} 	 Values : 0
ItemSet:{ 0, 1, 3, 6} 	 Values : 0
ItemSet:{ 0, 1, 3, 7} 	 Values : 0
ItemSet:{ 0, 1, 3, 8} 	 Values : 0
ItemSet:{ 0, 1, 3, 9} 	 Values : 0
ItemSet:{ 0, 1, 4, 5} 	 Values : 0
ItemSet:{ 0, 1, 4, 7} 	 Values : 0
ItemSet:{ 0, 1, 4, 8} 	 Values : 0
ItemSet:{ 0, 1, 5, 6} 	 Values : 0
ItemSet:{ 0, 1, 5, 7} 	 Values : 0
ItemSet:{ 0, 1, 5, 8} 	 Values : 0
ItemSet:{ 0, 1, 5, 9} 	 Values : 0
ItemSet:{ 0, 1, 6, 7} 	 Values : 0
ItemSet:{ 0, 1, 6, 8} 	 Values : 0
ItemSet:{ 0, 1, 7, 8} 	 Values : 0
ItemSet:{ 0, 1, 7, 9} 	 Values : 0
ItemSet:{ 0, 1, 8, 9} 	 Values : 0
ItemSet:{ 0, 2, 3, 4} 	 Values : 0
ItemSet:{ 0, 2, 3, 5} 	 Values : 0
ItemSet:{ 0, 2, 3, 6} 	 Values : 0
ItemSet:{ 0, 2, 3, 7} 	 Values : 0
ItemSet:{ 0, 2, 3, 8} 	 Values : 0
ItemSet:{ 0, 2, 3, 9} 	 Values : 0
ItemSet:{ 0, 2, 4, 6} 	 Values : 0
ItemSet:{ 0, 2, 4, 7} 	 Values : 0
ItemSet:{ 0, 2, 4, 8} 	 Values : 0
ItemSet:{ 0, 2, 4, 9} 	 Values : 0
ItemSet:{ 0, 2, 5, 6} 	 Values : 0
ItemSet:{ 0, 2, 5, 7} 	 Values : 0
ItemSet:{ 0, 2, 5, 8} 	 Values : 0
ItemSet:{ 0, 2, 5, 9} 	 Values : 0
