ItemSet:{ { 2, 3, 4, 5 } ==> } 	 Confidance : 100
ItemSet:{ { 3 } ==> { 2 }, { 4 }, { 5 }} 	 Confidance : 100
ItemSet:{ { 2, 3, 4, 6 } ==> } 	 Confidance : 100
ItemSet:{ { 3 } ==> { 2 }, { 4 }, { 6 }} 	 Confidance : 100
ItemSet:{ { 2, 3, 5, 6 } ==> } 	 Confidance : 100
ItemSet:{ { 3 } ==> { 2 }, { 5 }, { 6 }} 	 Confidance : 100
ItemSet:{ { 2, 4, 5, 6 } ==> } 	 Confidance : 100
ItemSet:{ { 3 } ==> { 4 }, { 5 }, { 6 }} 	 Confidance : 100
ItemSet:{ { 3, 4, 5, 6 } ==> } 	 Confidance : 100
ItemSet:{ { 0, 1, 4, 6 } ==> } 	 Confidance : 100
ItemSet:{ { 0, 1, 4, 9 } ==> } 	 Confidance : 100
ItemSet:{ { 9 } ==> { 0 }, { 1 }, { 4 }} 	 Confidance : 100
ItemSet:{ { 0, 1, 6, 9 } ==> } 	 Confidance : 100
ItemSet:{ { 9 } ==> { 0 }, { 1 }, { 6 }} 	 Confidance : 100
ItemSet:{ { 0, 2, 4, 5 } ==> } 	 Confidance : 100
ItemSet:{ { 0, 4, 6, 9 } ==> } 	 Confidance : 100
ItemSet:{ { 9 } ==> { 0 }, { 4 }, { 6 }} 	 Confidance : 100
ItemSet:{ { 1, 2, 3, 4 } ==> } 	 Confidance : 100
ItemSet:{ { 1, 2, 3, 5 } ==> } 	 Confidance : 100
ItemSet:{ { 1, 2, 3, 6 } ==> } 	 Confidance : 100
ItemSet:{ { 1, 2, 4, 5 } ==> } 	 Confidance : 100
ItemSet:{ { 1, 2, 4, 6 } ==> } 	 Confidance : 100
ItemSet:{ { 1, 2, 5, 6 } ==> } 	 Confidance : 100
ItemSet:{ { 1, 3, 4, 5 } ==> } 	 Confidance : 100
ItemSet:{ { 1, 3, 4, 6 } ==> } 	 Confidance : 100
ItemSet:{ { 1, 3, 5, 6 } ==> } 	 Confidance : 100
ItemSet:{ { 1, 4, 5, 6 } ==> } 	 Confidance : 100
ItemSet:{ { 1, 4, 5, 8 } ==> } 	 Confidance : 100
ItemSet:{ { 8 } ==> { 1 }, { 4 }, { 5 }} 	 Confidance : 100
ItemSet:{ { 1, 4, 6, 9 } ==> } 	 Confidance : 100
ItemSet:{ { 9 } ==> { 1 }, { 4 }, { 6 }} 	 Confidance : 100
ItemSet:{ { 2, 3, 4, 7 } ==> } 	 Confidance : 100
ItemSet:{ { 7 } ==> { 2 }, { 3 }, { 4 }} 	 Confidance : 100
ItemSet:{ { 2, 3, 5, 7 } ==> } 	 Confidance : 100
ItemSet:{ { 7 } ==> { 2 }, { 3 }, { 5 }} 	 Confidance : 100
ItemSet:{ { 2, 3, 6, 7 } ==> } 	 Confidance : 100
ItemSet:{ { 7 } ==> { 2 }, { 3 }, { 6 }} 	 Confidance : 100
ItemSet:{ { 2, 4, 5, 7 } ==> } 	 Confidance : 100
ItemSet:{ { 7 } ==> { 2 }, { 4 }, { 5 }} 	 Confidance : 100
ItemSet:{ { 2, 4, 6, 7 } ==> } 	 Confidance : 100
ItemSet:{ { 7 } ==> { 2 }, { 4 }, { 6 }} 	 Confidance : 100
ItemSet:{ { 2, 5, 6, 7 } ==> } 	 Confidance : 100
ItemSet:{ { 7 } ==> { 2 }, { 5 }, { 6 }} 	 Confidance : 100
ItemSet:{ { 3, 4, 5, 7 } ==> } 	 Confidance : 100
ItemSet:{ { 7 } ==> { 3 }, { 4 }, { 5 }} 	 Confidance : 100
ItemSet:{ { 3, 4, 6, 7 } ==> } 	 Confidance : 100
ItemSet:{ { 7 } ==> { 3 }, { 4 }, { 6 }} 	 Confidance : 100
ItemSet:{ { 3, 5, 6, 7 } ==> } 	 Confidance : 100
ItemSet:{ { 7 } ==> { 3 }, { 5 }, { 6 }} 	 Confidance : 100
ItemSet:{ { 4, 5, 6, 7 } ==> } 	 Confidance : 100
ItemSet:{ { 7 } ==> { 4 }, { 5 }, { 6 }} 	 Confidance : 100
ItemSet:{ { 2 } ==> { 3 }, { 4 }, { 5 }} 	 Confidance : 66.67
ItemSet:{ { 2 } ==> { 3 }, { 4 }, { 6 }} 	 Confidance : 66.67
ItemSet:{ { 6 } ==> { 2 }, { 3 }, { 4 }} 	 Confidance : 66.67
ItemSet:{ { 2 } ==> { 3 }, { 5 }, { 6 }} 	 Confidance : 66.67
ItemSet:{ { 6 } ==> { 2 }, { 3 }, { 5 }} 	 Confidance : 66.67
ItemSet:{ { 2 } ==> { 4 }, { 5 }, { 6 }} 	 Confidance : 66.67
ItemSet:{ { 6 } ==> { 2 }, { 4 }, { 5 }} 	 Confidance : 66.67
ItemSet:{ { 6 } ==> { 3 }, { 4 }, { 5 }} 	 Confidance : 66.67
ItemSet:{ { 5 } ==> { 2 }, { 3 }, { 4 }} 	 Confidance : 50
ItemSet:{ { 5 } ==> { 2 }, { 3 }, { 6 }} 	 Confidance : 50
ItemSet:{ { 5 } ==> { 2 }, { 4 }, { 6 }} 	 Confidance : 50
ItemSet:{ { 5 } ==> { 3 }, { 4 }, { 6 }} 	 Confidance : 50
ItemSet:{ { 0 } ==> { 1 }, { 4 }, { 6 }} 	 Confidance : 50
ItemSet:{ { 0 } ==> { 1 }, { 4 }, { 9 }} 	 Confidance : 50
ItemSet:{ { 0 } ==> { 1 }, { 6 }, { 9 }} 	 Confidance : 50
ItemSet:{ { 0 } ==> { 2 }, { 4 }, { 5 }} 	 Confidance : 50
ItemSet:{ { 0 } ==> { 4 }, { 6 }, { 9 }} 	 Confidance : 50
ItemSet:{ { 3 } ==> { 1 }, { 2 }, { 4 }} 	 Confidance : 50
ItemSet:{ { 3 } ==> { 1 }, { 2 }, { 5 }} 	 Confidance : 50
ItemSet:{ { 3 } ==> { 1 }, { 2 }, { 6 }} 	 Confidance : 50
ItemSet:{ { 3 } ==> { 1 }, { 4 }, { 5 }} 	 Confidance : 50
ItemSet:{ { 3 } ==> { 1 }, { 4 }, { 6 }} 	 Confidance : 50
ItemSet:{ { 3 } ==> { 1 }, { 5 }, { 6 }} 	 Confidance : 50
ItemSet:{ { 3 } ==> { 2 }, { 4 }, { 7 }} 	 Confidance : 50
ItemSet:{ { 3 } ==> { 2 }, { 5 }, { 7 }} 	 Confidance : 50
ItemSet:{ { 3 } ==> { 2 }, { 6 }, { 7 }} 	 Confidance : 50
ItemSet:{ { 3 } ==> { 4 }, { 5 }, { 7 }} 	 Confidance : 50
ItemSet:{ { 3 } ==> { 4 }, { 6 }, { 7 }} 	 Confidance : 50
ItemSet:{ { 3 } ==> { 5 }, { 6 }, { 7 }} 	 Confidance : 50
ItemSet:{ { 4 } ==> { 2 }, { 3 }, { 5 }} 	 Confidance : 40
ItemSet:{ { 4 } ==> { 2 }, { 3 }, { 6 }} 	 Confidance : 40
ItemSet:{ { 4 } ==> { 2 }, { 5 }, { 6 }} 	 Confidance : 40
ItemSet:{ { 4 } ==> { 3 }, { 5 }, { 6 }} 	 Confidance : 40
ItemSet:{ { 1 } ==> { 0 }, { 4 }, { 6 }} 	 Confidance : 33.33
ItemSet:{ { 6 } ==> { 0 }, { 1 }, { 4 }} 	 Confidance : 33.33
ItemSet:{ { 1 } ==> { 0 }, { 4 }, { 9 }} 	 Confidance : 33.33
ItemSet:{ { 1 } ==> { 0 }, { 6 }, { 9 }} 	 Confidance : 33.33
ItemSet:{ { 6 } ==> { 0 }, { 1 }, { 9 }} 	 Confidance : 33.33
ItemSet:{ { 2 } ==> { 0 }, { 4 }, { 5 }} 	 Confidance : 33.33
ItemSet:{ { 6 } ==> { 0 }, { 4 }, { 9 }} 	 Confidance : 33.33
ItemSet:{ { 1 } ==> { 2 }, { 3 }, { 4 }} 	 Confidance : 33.33
ItemSet:{ { 2 } ==> { 1 }, { 3 }, { 4 }} 	 Confidance : 33.33
ItemSet:{ { 1 } ==> { 2 }, { 3 }, { 5 }} 	 Confidance : 33.33
ItemSet:{ { 2 } ==> { 1 }, { 3 }, { 5 }} 	 Confidance : 33.33
ItemSet:{ { 1 } ==> { 2 }, { 3 }, { 6 }} 	 Confidance : 33.33
ItemSet:{ { 2 } ==> { 1 }, { 3 }, { 6 }} 	 Confidance : 33.33
ItemSet:{ { 6 } ==> { 1 }, { 2 }, { 3 }} 	 Confidance : 33.33
ItemSet:{ { 1 } ==> { 2 }, { 4 }, { 5 }} 	 Confidance : 33.33
ItemSet:{ { 2 } ==> { 1 }, { 4 }, { 5 }} 	 Confidance : 33.33
ItemSet:{ { 1 } ==> { 2 }, { 4 }, { 6 }} 	 Confidance : 33.33
ItemSet:{ { 2 } ==> { 1 }, { 4 }, { 6 }} 	 Confidance : 33.33
ItemSet:{ { 6 } ==> { 1 }, { 2 }, { 4 }} 	 Confidance : 33.33
ItemSet:{ { 1 } ==> { 2 }, { 5 }, { 6 }} 	 Confidance : 33.33
ItemSet:{ { 2 } ==> { 1 }, { 5 }, { 6 }} 	 Confidance : 33.33
ItemSet:{ { 6 } ==> { 1 }, { 2 }, { 5 }} 	 Confidance : 33.33
ItemSet:{ { 1 } ==> { 3 }, { 4 }, { 5 }} 	 Confidance : 33.33
ItemSet:{ { 1 } ==> { 3 }, { 4 }, { 6 }} 	 Confidance : 33.33
ItemSet:{ { 6 } ==> { 1 }, { 3 }, { 4 }} 	 Confidance : 33.33
ItemSet:{ { 1 } ==> { 3 }, { 5 }, { 6 }} 	 Confidance : 33.33
ItemSet:{ { 6 } ==> { 1 }, { 3 }, { 5 }} 	 Confidance : 33.33
ItemSet:{ { 1 } ==> { 4 }, { 5 }, { 6 }} 	 Confidance : 33.33
ItemSet:{ { 6 } ==> { 1 }, { 4 }, { 5 }} 	 Confidance : 33.33
ItemSet:{ { 1 } ==> { 4 }, { 5 }, { 8 }} 	 Confidance : 33.33
ItemSet:{ { 1 } ==> { 4 }, { 6 }, { 9 }} 	 Confidance : 33.33
ItemSet:{ { 6 } ==> { 1 }, { 4 }, { 9 }} 	 Confidance : 33.33
ItemSet:{ { 2 } ==> { 3 }, { 4 }, { 7 }} 	 Confidance : 33.33
ItemSet:{ { 2 } ==> { 3 }, { 5 }, { 7 }} 	 Confidance : 33.33
ItemSet:{ { 2 } ==> { 3 }, { 6 }, { 7 }} 	 Confidance : 33.33
ItemSet:{ { 6 } ==> { 2 }, { 3 }, { 7 }} 	 Confidance : 33.33
ItemSet:{ { 2 } ==> { 4 }, { 5 }, { 7 }} 	 Confidance : 33.33
ItemSet:{ { 2 } ==> { 4 }, { 6 }, { 7 }} 	 Confidance : 33.33
ItemSet:{ { 6 } ==> { 2 }, { 4 }, { 7 }} 	 Confidance : 33.33
ItemSet:{ { 2 } ==> { 5 }, { 6 }, { 7 }} 	 Confidance : 33.33
ItemSet:{ { 6 } ==> { 2 }, { 5 }, { 7 }} 	 Confidance : 33.33
ItemSet:{ { 6 } ==> { 3 }, { 4 }, { 7 }} 	 Confidance : 33.33
ItemSet:{ { 6 } ==> { 3 }, { 5 }, { 7 }} 	 Confidance : 33.33
ItemSet:{ { 6 } ==> { 4 }, { 5 }, { 7 }} 	 Confidance : 33.33
ItemSet:{ { 5 } ==> { 0 }, { 2 }, { 4 }} 	 Confidance : 25
ItemSet:{ { 5 } ==> { 1 }, { 2 }, { 3 }} 	 Confidance : 25
ItemSet:{ { 5 } ==> { 1 }, { 2 }, { 4 }} 	 Confidance : 25
ItemSet:{ { 5 } ==> { 1 }, { 2 }, { 6 }} 	 Confidance : 25
ItemSet:{ { 5 } ==> { 1 }, { 3 }, { 4 }} 	 Confidance : 25
ItemSet:{ { 5 } ==> { 1 }, { 3 }, { 6 }} 	 Confidance : 25
ItemSet:{ { 5 } ==> { 1 }, { 4 }, { 6 }} 	 Confidance : 25
ItemSet:{ { 5 } ==> { 1 }, { 4 }, { 8 }} 	 Confidance : 25
ItemSet:{ { 5 } ==> { 2 }, { 3 }, { 7 }} 	 Confidance : 25
ItemSet:{ { 5 } ==> { 2 }, { 4 }, { 7 }} 	 Confidance : 25
ItemSet:{ { 5 } ==> { 2 }, { 6 }, { 7 }} 	 Confidance : 25
ItemSet:{ { 5 } ==> { 3 }, { 4 }, { 7 }} 	 Confidance : 25
ItemSet:{ { 5 } ==> { 3 }, { 6 }, { 7 }} 	 Confidance : 25
ItemSet:{ { 5 } ==> { 4 }, { 6 }, { 7 }} 	 Confidance : 25
ItemSet:{ { 4 } ==> { 0 }, { 1 }, { 6 }} 	 Confidance : 20
ItemSet:{ { 4 } ==> { 0 }, { 1 }, { 9 }} 	 Confidance : 20
ItemSet:{ { 4 } ==> { 0 }, { 2 }, { 5 }} 	 Confidance : 20
ItemSet:{ { 4 } ==> { 0 }, { 6 }, { 9 }} 	 Confidance : 20
ItemSet:{ { 4 } ==> { 1 }, { 2 }, { 3 }} 	 Confidance : 20
ItemSet:{ { 4 } ==> { 1 }, { 2 }, { 5 }} 	 Confidance : 20
ItemSet:{ { 4 } ==> { 1 }, { 2 }, { 6 }} 	 Confidance : 20
ItemSet:{ { 4 } ==> { 1 }, { 3 }, { 5 }} 	 Confidance : 20
ItemSet:{ { 4 } ==> { 1 }, { 3 }, { 6 }} 	 Confidance : 20
ItemSet:{ { 4 } ==> { 1 }, { 5 }, { 6 }} 	 Confidance : 20
ItemSet:{ { 4 } ==> { 1 }, { 5 }, { 8 }} 	 Confidance : 20
ItemSet:{ { 4 } ==> { 1 }, { 6 }, { 9 }} 	 Confidance : 20
ItemSet:{ { 4 } ==> { 2 }, { 3 }, { 7 }} 	 Confidance : 20
ItemSet:{ { 4 } ==> { 2 }, { 5 }, { 7 }} 	 Confidance : 20
ItemSet:{ { 4 } ==> { 2 }, { 6 }, { 7 }} 	 Confidance : 20
ItemSet:{ { 4 } ==> { 3 }, { 5 }, { 7 }} 	 Confidance : 20
ItemSet:{ { 4 } ==> { 3 }, { 6 }, { 7 }} 	 Confidance : 20
ItemSet:{ { 4 } ==> { 5 }, { 6 }, { 7 }} 	 Confidance : 20
ItemSet:{ { 0 } ==> { 1 }, { 2 }, { 3 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 0 }, { 2 }, { 3 }} 	 Confidance : 0
ItemSet:{ { 2 } ==> { 0 }, { 1 }, { 3 }} 	 Confidance : 0
ItemSet:{ { 3 } ==> { 0 }, { 1 }, { 2 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 1 }, { 2 }, { 4 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 0 }, { 2 }, { 4 }} 	 Confidance : 0
ItemSet:{ { 2 } ==> { 0 }, { 1 }, { 4 }} 	 Confidance : 0
ItemSet:{ { 4 } ==> { 0 }, { 1 }, { 2 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 1 }, { 2 }, { 5 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 0 }, { 2 }, { 5 }} 	 Confidance : 0
ItemSet:{ { 2 } ==> { 0 }, { 1 }, { 5 }} 	 Confidance : 0
ItemSet:{ { 5 } ==> { 0 }, { 1 }, { 2 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 1 }, { 2 }, { 6 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 0 }, { 2 }, { 6 }} 	 Confidance : 0
ItemSet:{ { 2 } ==> { 0 }, { 1 }, { 6 }} 	 Confidance : 0
ItemSet:{ { 6 } ==> { 0 }, { 1 }, { 2 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 1 }, { 2 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 0 }, { 2 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 2 } ==> { 0 }, { 1 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 7 } ==> { 0 }, { 1 }, { 2 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 1 }, { 2 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 0 }, { 2 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 2 } ==> { 0 }, { 1 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 8 } ==> { 0 }, { 1 }, { 2 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 1 }, { 2 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 0 }, { 2 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 2 } ==> { 0 }, { 1 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 9 } ==> { 0 }, { 1 }, { 2 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 1 }, { 3 }, { 4 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 0 }, { 3 }, { 4 }} 	 Confidance : 0
ItemSet:{ { 3 } ==> { 0 }, { 1 }, { 4 }} 	 Confidance : 0
ItemSet:{ { 4 } ==> { 0 }, { 1 }, { 3 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 1 }, { 3 }, { 5 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 0 }, { 3 }, { 5 }} 	 Confidance : 0
ItemSet:{ { 3 } ==> { 0 }, { 1 }, { 5 }} 	 Confidance : 0
ItemSet:{ { 5 } ==> { 0 }, { 1 }, { 3 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 1 }, { 3 }, { 6 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 0 }, { 3 }, { 6 }} 	 Confidance : 0
ItemSet:{ { 3 } ==> { 0 }, { 1 }, { 6 }} 	 Confidance : 0
